term	valence
accelerated	0.220
multiplex	0.220
remains	0.220
incognito	0.220
commensurate	0.220
fundraiser	0.220
behold	0.220
standardized	0.220
hydrate	0.220
natural law	0.220
compendium	0.220
outlet	0.220
tribune	0.220
expo	0.220
baggage	0.220
script	0.220
pinup	0.220
riverbed	0.220
tidings	0.220
improvised	0.220
sweet on	0.218
motorbike	0.218
well versed	0.218
in memoriam	0.218
main stage	0.218
hand sanitizer	0.218
mouthful	0.218
blue chips	0.218
modern times	0.218
picture frame	0.218
absorption	0.218
on hand	0.218
warm weather	0.218
bald eagle	0.218
coffee machine	0.218
in cash	0.218
trigger happy	0.218
duffel bag	0.218
stronger	0.218
oral history	0.218
dustpan	0.218
email address	0.218
news agency	0.218
press on	0.218
gravy	0.216
be born	0.216
dingo	0.216
customer service	0.216
magnitude	0.216
neurologist	0.216
calls	0.216
interdependence	0.216
conformance	0.216
koala	0.216
cookie cutter	0.216
thought process	0.216
high heels	0.215
purchasing power	0.214
world market	0.214
bike path	0.214
mutual aid	0.214
pumpkin seeds	0.214
bottled water	0.214
very light	0.214
conference call	0.214
speak with	0.214
green onion	0.214
youth group	0.214
chicken nugget	0.214
striptease	0.214
big name	0.214
fill in	0.214
morning shift	0.214
high gear	0.214
ice rink	0.214
carry over	0.214
home buyer	0.214
memorial day	0.214
personal property	0.214
let's go	0.214
front teeth	0.214
pet name	0.214
model	0.214
high on	0.214
related to	0.214
bull market	0.214
one's self	0.214
jet fuel	0.214
free agent	0.214
assistant professor	0.214
ethnic group	0.214
founding father	0.214
bring in	0.214
social status	0.214
get home	0.214
carte blanche	0.214
grade school	0.214
cutting edge	0.214
household income	0.214
fair enough	0.214
halloween	0.214
world cup	0.214
checking account	0.214
work out	0.214
green screen	0.214
hold water	0.214
tip in	0.214
boy scouts	0.214
cum laude	0.214
olive green	0.214
course	0.214
wisdom teeth	0.214
top spot	0.214
balance beam	0.214
cast iron	0.214
seeing eye	0.214
heart rate	0.214
a ton	0.214
think through	0.214
group work	0.214
black belt	0.214
outta sight	0.212
savanna	0.212
head first	0.212
tower	0.212
padded	0.212
prime example	0.212
corral	0.212
different strokes	0.210
priestly	0.210
clover	0.210
transition	0.210
magna	0.210
tram	0.209
yellowtail	0.208
revving	0.208
feeder	0.208
reentry	0.208
symmetry	0.208
managerial	0.208
caster	0.208
ware	0.208
intensify	0.208
centenary	0.208
jade	0.208
mobilize	0.208
annotation	0.208
domicile	0.208
caricature	0.208
upholsterer	0.208
equalizer	0.208
madame	0.208
intake	0.208
stipend	0.208
flesh	0.208
botany	0.208
aflame	0.208
astral	0.208
accuracy	0.208
people	0.208
girlie	0.208
impelled	0.208
time	0.208
thrifty	0.208
stance	0.208
northwest	0.208
invertible	0.208
recipient	0.208
moment	0.208
inception	0.208
editing	0.208
carbon	0.208
crew	0.208
northbound	0.208
database	0.208
sally	0.208
keypad	0.208
accordion	0.208
decaffeinate	0.208
applejack	0.208
bodysuit	0.208
periscope	0.208
dalliance	0.208
adhesive	0.208
reinforce	0.208
ode	0.208
textile	0.208
whittler	0.208
coastal	0.208
grass	0.208
organizer	0.208
diagrammatic	0.208
nestling	0.208
weave	0.208
eagle	0.208
unencumbered	0.208
supplemental	0.208
cleaner	0.208
unwrap	0.208
preschool	0.208
measurable	0.208
hokey	0.208
stratosphere	0.208
moderately	0.208
huddle	0.208
hundred	0.208
marble	0.208
atmosphere	0.208
facing	0.208
shampoo	0.208
unequivocal	0.208
flex	0.208
yaay	0.208
mister	0.208
nonconformist	0.208
belter	0.208
depositary	0.208
trampoline	0.208
requestor	0.208
crayon	0.208
lyrist	0.208
transcend	0.208
naturalism	0.208
esquire	0.208
generality	0.208
allocation	0.208
topographic	0.208
houseboat	0.208
discriminately	0.208
dowry	0.208
mousse	0.208
hedge	0.208
sheep	0.208
conqueror	0.208
wavelength	0.208
hypnotization	0.208
mythos	0.208
expediency	0.208
bazaar	0.208
hankering	0.208
sheer	0.208
catalyst	0.208
taffeta	0.208
dew	0.208
boom	0.208
copywriter	0.208
flan	0.208
polish	0.208
doodle	0.208
autotrophic	0.208
tune up	0.208
nonfat	0.208
date	0.208
predawn	0.208
planter	0.208
waitinggame	0.208
expansible	0.208
housekeeping	0.208
interim	0.208
packaging	0.208
rubbers	0.208
tend	0.208
infantile	0.208
obelisk	0.208
lots	0.208
institute	0.208
text	0.208
directive	0.208
propose	0.208
brigade	0.208
spruce	0.208
bedside	0.208
swig	0.208
position	0.208
newsflash	0.208
etiquette	0.208
cirque	0.208
inhabitant	0.208
resources	0.208
standing	0.208
bookbindery	0.208
ferry	0.208
loot	0.208
quarterly	0.208
colloquial	0.208
trekker	0.208
ultraviolet	0.208
bookish	0.208
output	0.208
consolidation	0.208
varied	0.208
envelope	0.208
newsman	0.208
grove	0.208
fishingpole	0.208
seer	0.208
wed	0.208
informant	0.208
version	0.208
hasta	0.208
inclusive	0.208
gras	0.208
preconference	0.208
allowably	0.208
cleanser	0.208
bed	0.208
mesa	0.208
complacency	0.208
lieutenancy	0.208
sleepy	0.208
fit	0.208
bluish	0.208
baseman	0.208
homeroom	0.208
italian	0.208
synthesis	0.208
analyst	0.208
stretch	0.208
translate	0.208
try	0.208
doings	0.208
biker	0.208
asleep	0.208
riotously	0.208
quantitative	0.208
epistle	0.208
lotus	0.208
campus	0.208
docile	0.208
cracker	0.208
cohesion	0.208
train set	0.208
cunning	0.208
pallet	0.208
dainty	0.208
wannasleep	0.208
candlewood	0.208
rap	0.208
engraving	0.208
willow	0.208
remodel	0.208
longing	0.208
hat	0.208
subsidize	0.208
corridor	0.208
parasol	0.208
purr	0.208
eroticism	0.208
flashing	0.208
sphinx	0.208
germinate	0.208
inconspicuous	0.208
treatise	0.208
envisage	0.208
rainfall	0.208
childbirth	0.208
planetary	0.208
commonly	0.208
boarder	0.208
defending	0.208
ley	0.208
biomorphic	0.208
stay	0.208
headmaster	0.208
particulars	0.208
highlander	0.208
solvency	0.208
dresser	0.208
spatial	0.208
speaker	0.208
infrastructure	0.208
comparatively	0.208
latticework	0.208
notification	0.208
scanning	0.208
polka	0.208
sneakers	0.208
licensor	0.208
you're on	0.206
in store	0.206
yeah	0.206
double figures	0.206
school year	0.206
candy corn	0.206
working person	0.206
introspection	0.206
weather station	0.206
past experience	0.206
business people	0.206
store brand	0.206
square dancing	0.206
lots more	0.206
you know	0.206
ride up	0.206
have reason	0.206
chicken soup	0.206
browser	0.206
street light	0.206
soccer team	0.206
winter sports	0.206
liquor	0.206
along	0.206
openly	0.206
ball game	0.206
on earth	0.206
in conclusion	0.206
physical appearance	0.206
leisure time	0.206
summer months	0.206
massage therapist	0.206
track record	0.206
going on	0.206
power line	0.206
high top	0.206
detailed	0.206
white flag	0.206
telephone number	0.206
instant coffee	0.206
brief period	0.206
half day	0.206
high frequency	0.206
civil society	0.206
for reals	0.206
in essence	0.206
high class	0.206
check that	0.206
cover story	0.206
golf course	0.206
save from	0.206
soccer game	0.206
providence	0.206
civic duty	0.206
bank holiday	0.206
hands on	0.206
former student	0.206
beyond belief	0.206
first state	0.206
grocery bag	0.206
conversion rate	0.206
wrestling match	0.206
get about	0.206
brady bunch	0.206
reason with	0.206
big sur	0.206
fix up	0.206
take hold	0.206
stainless steel	0.206
day shift	0.206
ring around	0.206
sail away	0.206
preach	0.204
ladybug	0.204
nugget	0.204
fern	0.204
revolving	0.204
headset	0.204
tot	0.204
swing	0.204
prompt	0.204
solarium	0.204
move towards	0.204
snowday	0.204
inversion	0.204
bourbon	0.204
graphic	0.204
come back	0.204
subject	0.204
density	0.204
iridescent	0.204
fluorescent	0.204
hint	0.204
watering can	0.204
jetty	0.204
bathhouse	0.204
promo	0.204
newspaper	0.204
sheriff	0.204
homeboy	0.204
propelling	0.204
schoolhouse	0.204
resemble	0.204
liability insurance	0.204
blender	0.204
return	0.204
redecorate	0.204
olfactory	0.204
sidekick	0.204
traceable	0.204
boots	0.204
elders	0.204
commentary	0.204
telepathic	0.204
crewman	0.204
smarten	0.204
campaign	0.204
behest	0.204
pure white	0.204
assorted	0.204
psalms	0.204
basis	0.204
announcer	0.204
surplus	0.204
social events	0.204
platform	0.204
gingerly	0.204
eucalyptus	0.204
roof	0.204
full	0.204
yayyy	0.204
inning	0.204
fed	0.204
inexhaustible	0.204
jamboree	0.204
golfer	0.204
commissioner	0.204
oratory	0.204
unmistakable	0.204
impetuous	0.204
evangelical	0.204
expeditious	0.204
iconography	0.204
construe	0.204
emerge	0.204
cookbook	0.204
soup	0.204
marquee	0.204
root	0.204
octagon	0.204
porterhouse	0.204
download	0.204
go see	0.204
memorial	0.204
jean	0.204
diversified	0.204
afloat	0.204
jeep	0.204
recap	0.204
limestone	0.204
financier	0.204
promulgation	0.204
horsey	0.204
herbarium	0.204
pediatrician	0.204
keyword	0.204
veggie	0.204
lull	0.204
candle	0.204
duckling	0.204
wannabe	0.204
grub	0.204
woot	0.204
mahogany	0.204
keep in	0.204
ingress	0.202
swear	0.202
petitioner	0.202
airfield	0.202
mamma	0.200
health department	0.200
chiefly	0.200
double decker	0.200
mouth watering	0.200
walk through	0.200
a pair	0.200
groundnut	0.200
binomial	0.200
huckleberry	0.200
exponentiation	0.200
home stretch	0.200
advertisement	0.200
pug	0.200
high time	0.200
customer base	0.200
bragging rights	0.200
well up	0.200
bone structure	0.200
writ large	0.200
each way	0.200
calcium	0.200
everyone	0.200
heliocentricity	0.200
have young	0.200
high bar	0.200
plenty of	0.200
ease into	0.200
snow cone	0.200
quickie	0.200
tribute band	0.200
extra time	0.200
water bottle	0.200
drive you	0.200
primary residence	0.200
glade	0.200
true north	0.200
american cheese	0.200
alternate universe	0.200
lead time	0.200
synchronous	0.200
meatless	0.200
young lady	0.200
booster shot	0.200
surroundings	0.200
annunciate	0.200
big board	0.200
algorithmic	0.200
microchemistry	0.200
golf ball	0.200
pope	0.200
brandy	0.200
ad campaign	0.200
attorney	0.200
trophy wife	0.200
furthermore	0.200
school lunch	0.200
news article	0.200
headphones	0.200
programming	0.200
outbound	0.200
conifer	0.200
ingratiation	0.200
real number	0.200
lookin	0.200
african american	0.200
tautly	0.200
respite	0.200
lego	0.200
written	0.200
stocked with	0.200
message board	0.200
strong evidence	0.200
rare occasions	0.200
oil painting	0.200
solicitor	0.200
turn up	0.200
common	0.200
memorandum	0.200
habitually	0.200
light show	0.200
go forth	0.200
cinnamon	0.200
lunch hour	0.200
account executive	0.200
alltime	0.200
enablement	0.200
user interface	0.200
in flight	0.200
cautiously optimistic	0.200
international law	0.200
heard	0.200
home base	0.200
feel like	0.200
allotment	0.200
dealings	0.200
main reason	0.200
legionary	0.200
peculiar	0.200
hear about	0.200
deserve credit	0.200
must read	0.200
verdant	0.200
astronomical	0.200
boarding pass	0.200
poster boy	0.200
tour guide	0.200
talk to	0.200
free lunch	0.200
tiling	0.200
vanquishing	0.200
cereal box	0.200
book on	0.200
clear evidence	0.200
compile	0.200
clowns	0.200
hair braided	0.200
trail	0.200
tortilla soup	0.200
in unison	0.200
in time	0.200
sought after	0.200
power grid	0.200
state government	0.200
salient	0.200
change up	0.200
scale up	0.200
wine tasting	0.200
style on	0.200
book in	0.200
cottage	0.200
speak to	0.200
shrimp cocktail	0.200
wishful thinking	0.200
skincare	0.200
sprawl	0.200
king crab	0.200
picture book	0.200
pumpkin pie	0.200
holding	0.200
crystallization	0.200
straight line	0.200
breast feeding	0.200
minority leader	0.200
wild animals	0.200
tremendous	0.200
translucent	0.200
unexaggerated	0.200
relief pitcher	0.200
handbook	0.200
stand	0.200
feature in	0.200
substitute teacher	0.200
in itself	0.200
enamelware	0.200
day school	0.200
internet service	0.200
egret	0.200
blimp	0.200
voltmeter	0.198
cardigan	0.198
registrar	0.198
match	0.198
dialogue	0.198
working day	0.196
night	0.196
cathedral	0.196
key in	0.196
titan	0.196
longterm	0.196
cold open	0.196
agua	0.196
condensed	0.196
virtual	0.196
steam room	0.196
keynote speaker	0.196
accent	0.196
over time	0.194
grocery store	0.194
extra large	0.194
camera lens	0.194
power supply	0.194
upside	0.194
time in	0.194
direct action	0.194
crazy about	0.194
staff member	0.194
playing field	0.194
hear hear	0.194
plug in	0.194
concession stand	0.194
home page	0.194
gingerbread	0.194
top shelf	0.194
council member	0.194
police department	0.194
life cycle	0.194
east coast	0.194
to rule	0.194
gene therapy	0.194
volleyball game	0.194
flight path	0.194
pirate ship	0.194
okay	0.194
early retirement	0.194
call by	0.194
green room	0.194
checkout	0.194
screen saver	0.194
augmented reality	0.194
pizza hut	0.194
good night	0.194
honeysuckle	0.194
life jacket	0.194
still life	0.194
gameplay	0.194
service call	0.194
faculty member	0.194
take notice	0.194
retail store	0.194
election day	0.194
you guys	0.194
go first	0.194
administrative assistant	0.194
to go	0.194
open to	0.194
fast break	0.194
traffic lights	0.194
night light	0.194
goose bumps	0.194
on time	0.194
time machine	0.194
feel myself	0.194
home address	0.194
lawn sign	0.194
your self	0.194
cheese sauce	0.194
get work	0.194
in proportion	0.194
beyond measure	0.194
new media	0.194
catch up	0.194
health check	0.194
wrap around	0.194
news organization	0.194
barbershop	0.194
by ourselves	0.194
bring up	0.194
big bang	0.194
green card	0.194
known	0.194
circuitry	0.192
mass market	0.192
march on	0.192
laugh at	0.192
oregano	0.192
on board	0.192
more than	0.192
check in	0.192
lemon	0.192
suckling	0.192
archaeology	0.192
flash on	0.192
private citizen	0.192
ballpoint	0.192
big difference	0.192
candidate	0.192
build around	0.192
frequently	0.192
post game	0.192
reconstructive	0.192
correlation	0.192
high end	0.192
roof over	0.192
field hockey	0.191
biblically	0.190
cattleman	0.190
papermaking	0.190
bagful	0.190
muppet	0.190
olivewood	0.190
bluesman	0.190
steaminess	0.190
biotype	0.190
tenpin	0.190
legitimist	0.190
galvanism	0.190
babushka	0.190
arrowroot	0.190
tetrahedral	0.190
cockerel	0.190
soapsuds	0.190
cornrow	0.190
stonemason	0.190
snowline	0.190
locater	0.190
seedpod	0.190
cassock	0.190
calciferous	0.190
anesthetist	0.190
distiller	0.190
pull in	0.190
correlativeness	0.190
passcode	0.190
bidet	0.190
fluorite	0.190
overlapping	0.190
discriminant	0.190
soy milk	0.190
suffuse	0.190
hairclip	0.190
metalworker	0.190
claimable	0.190
joystick	0.190
nonferrous	0.190
docilely	0.190
harbormaster	0.190
vernacularism	0.190
cohabitant	0.190
jawline	0.190
precollege	0.190
prebake	0.190
recolor	0.190
macroevolution	0.190
girly	0.190
meteorologist	0.190
recalculate	0.190
aftergame	0.190
ceo	0.190
reducibility	0.190
cubbyhole	0.190
blurb	0.190
unresisting	0.190
cleaning	0.190
reconstitute	0.190
specificity	0.190
equine	0.190
waterborne	0.190
decidable	0.190
hanker	0.190
rockfish	0.190
uncompressed	0.190
earthmover	0.190
beep	0.190
intensifier	0.190
bishop	0.189
nouveau	0.189
diver	0.188
horticultural	0.188
headdress	0.188
call	0.188
stag	0.188
mystical	0.188
adept	0.188
city boy	0.188
sherry	0.188
light switch	0.188
duck	0.188
counsel	0.188
auction	0.188
telegraph	0.188
chopper	0.188
indicate	0.188
selection	0.188
hardware	0.188
bonding	0.188
lands	0.188
domestication	0.188
chatty	0.188
facial	0.188
sorter	0.188
lettuce	0.188
coupling	0.188
relativity	0.188
bistro	0.188
scores	0.188
behavior	0.188
alpine	0.188
spelling	0.188
wrap	0.188
seminary	0.188
masseuse	0.188
in kind	0.188
reserve currency	0.188
attempted	0.188
have it	0.188
biogenesis	0.188
clergyman	0.188
neon	0.188
clipboard	0.188
autopilot	0.188
khaki	0.188
chronological	0.188
archery	0.188
lime	0.188
pottery	0.188
american english	0.188
swiss cheese	0.188
exaltation	0.188
tang	0.188
personal data	0.188
appliances	0.188
annex	0.188
chicken	0.188
kinematics	0.188
mysticism	0.188
seaport	0.188
horsepower	0.188
sector	0.188
clemency	0.188
juggle	0.188
harbor	0.188
overtaken	0.188
cortex	0.188
geologist	0.188
formality	0.188
overlap	0.188
jersey	0.188
stock	0.188
enforcement	0.188
pave	0.188
article	0.188
item	0.188
custodian	0.188
warming	0.188
beefsteak	0.188
pied	0.188
count	0.188
revue	0.188
birdie	0.188
contracting	0.188
enamel	0.188
hitchhiker	0.188
marching band	0.188
creamer	0.188
fastening	0.188
heavy cream	0.188
twilight zone	0.188
and finally	0.188
spinning	0.188
banter	0.188
luau	0.188
astrologer	0.188
midlife	0.188
spice	0.188
oncoming	0.188
some trust	0.188
ferryboat	0.188
domino	0.188
modern world	0.188
warms	0.188
note	0.188
previously	0.188
nation	0.188
notables	0.188
done deal	0.188
barman	0.188
testament	0.188
sonic	0.188
sufficiency	0.188
argent	0.188
reserved	0.188
document	0.188
firehouse	0.188
right along	0.188
considering that	0.188
corn	0.188
robe	0.188
lieutenant	0.188
enjoin	0.188
tactical	0.188
blazing	0.188
couch	0.188
prospection	0.188
changed	0.188
nominal	0.188
pocketful	0.188
conventional	0.188
admiralty	0.188
magnifying	0.188
woods	0.188
street	0.188
zodiac	0.188
afield	0.188
veronica	0.188
shipshape	0.188
onion rings	0.188
jigsaw	0.188
labor	0.188
deem	0.188
land on	0.188
in series	0.188
raisin	0.188
be on	0.188
voice	0.188
nuts	0.188
precedence	0.188
opinion	0.188
exploration	0.188
vial	0.188
virtually	0.188
printout	0.188
billboard	0.188
retrospective	0.188
take part	0.188
outbid	0.188
bodily	0.188
tab	0.188
elementary	0.188
drumming	0.188
stainless	0.188
lecture	0.188
covenant	0.188
inventory	0.188
converse	0.188
enormity	0.188
panties	0.188
shellfish	0.188
associate professor	0.188
heliport	0.188
merchandise	0.188
shortcut	0.188
peopled	0.188
contract	0.188
gull	0.188
talk on	0.188
telepathy	0.188
wiener	0.188
expanse	0.188
tapioca	0.188
pole dancing	0.188
brook	0.188
eleventh	0.188
washer	0.188
chambermaid	0.188
centerpiece	0.188
frequent	0.188
soft drinks	0.186
man enough	0.186
bread pudding	0.186
hypothalamus	0.186
action figure	0.186
bright blue	0.186
security system	0.186
light weight	0.186
starter kit	0.186
birth date	0.186
some kind	0.186
morning after	0.186
shed light	0.186
mobile device	0.186
low cost	0.186
accelerator	0.186
veterans day	0.186
oxygen tank	0.186
pickle	0.186
general meeting	0.186
radio station	0.186
run with	0.186
next up	0.186
drum set	0.186
point to	0.186
inbox	0.186
pinstriped	0.185
debater	0.185
paramedical	0.185
incalculably	0.185
twirler	0.185
cerebellum	0.185
annotative	0.185
cementation	0.185
greasepaint	0.185
historicism	0.185
kinesthesia	0.185
knickknack	0.185
stoke	0.185
cyborg	0.185
townswoman	0.185
initially	0.185
permissiveness	0.185
seasonal	0.184
refuel	0.184
diorama	0.184
collegiate	0.184
jellybean	0.184
dimension	0.184
superintendent	0.184
inscription	0.184
resident	0.184
heightened	0.184
flagship	0.184
baritone	0.184
berlin	0.184
belongings	0.184
apostolic	0.184
intense	0.184
warm water	0.184
committee	0.184
taxpayer	0.184
endurance	0.184
doze	0.184
guard	0.184
feisty	0.184
robotics	0.184
transcription	0.184
cooker	0.184
vale	0.184
streaming	0.184
chili	0.184
bead	0.184
crusade	0.184
technician	0.184
workplace	0.184
holder	0.184
board	0.184
ladylike	0.184
citywide	0.184
transference	0.184
steaming	0.184
self defense	0.184
corporate	0.184
introduce	0.184
sherbet	0.184
squirrel	0.184
cantaloupe	0.184
circulatory	0.184
stage	0.184
yo-yo	0.184
modal	0.184
clarinet	0.184
subdivision	0.184
originator	0.184
lounge	0.184
eggplant	0.184
reindeer	0.184
pharmacist	0.184
amortization	0.184
resembling	0.184
penthouse	0.184
peekaboo	0.184
statute	0.184
ancestor	0.184
viewer	0.184
kayak	0.184
carte	0.184
race	0.184
revolve	0.184
accounts	0.184
furnishings	0.184
boatman	0.184
duplex	0.184
yearn	0.184
skyline	0.184
resistant	0.184
slumber	0.184
merger	0.184
footprint	0.184
guardianship	0.184
annotate	0.184
rounded	0.184
alreadyyyyy	0.184
mediator	0.184
oriental	0.184
recent	0.184
herd	0.184
upholstery	0.184
keeping	0.184
endorse	0.184
ostrich	0.184
shape	0.184
evens	0.184
exonerate	0.184
redwood	0.184
headlight	0.184
fortnightly	0.184
gateway	0.184
contractor	0.184
jock	0.184
undoubted	0.184
herbal	0.184
laughable	0.184
communal	0.184
pub	0.184
cope	0.184
courtside	0.184
authority	0.184
scifi	0.184
oatmeal	0.184
campaigner	0.184
boathouse	0.184
protracted	0.184
guts	0.184
marked	0.184
flag	0.184
minivan	0.184
echinacea	0.184
hotline	0.184
tidal	0.184
beer	0.184
patriarch	0.184
trillion	0.184
maintenance	0.184
melting	0.184
jiggle	0.184
touched	0.184
biceps	0.184
public	0.184
yearly	0.184
railroad	0.182
followed by	0.182
orange chicken	0.182
play with	0.182
shopping list	0.182
log	0.182
record holder	0.182
composite	0.182
detail	0.181
biological	0.180
perpetuity	0.180
aerodynamics	0.180
boogie	0.180
nod	0.180
palette	0.180
neurosurgeon	0.180
integral	0.180
reflecting	0.180
sheltered	0.180
path	0.180
readout	0.180
adjustment	0.180
internship	0.180
summarize	0.180
centurion	0.180
flirting	0.180
constitution	0.180
confederacy	0.180
upkeep	0.180
home town	0.180
city officials	0.180
sideboard	0.180
foreword	0.180
passenger seat	0.180
substantial	0.180
blond	0.180
renter	0.180
publicity	0.180
meteoric	0.180
fit into	0.180
inborn	0.180
power house	0.178
go wild	0.178
cell phone	0.178
sports writer	0.178
tag team	0.178
package deal	0.178
jump ball	0.178
security deposit	0.178
slide show	0.178
yard sale	0.178
mental energy	0.178
consideration	0.178
four times	0.178
pour in	0.178
game ball	0.178
selfie	0.178
come round	0.178
go downtown	0.178
act as	0.178
body image	0.178
run time	0.178
holy spirit	0.178
bear fruit	0.178
corn flakes	0.178
contour	0.178
long hair	0.178
state department	0.178
monte	0.178
green line	0.178
focus group	0.178
power play	0.178
straight back	0.178
reside in	0.178
roller derby	0.178
jet engine	0.178
hetero	0.178
phone company	0.178
wind on	0.178
rest assured	0.178
numbers of	0.178
keep at	0.178
compensatory	0.178
straighten out	0.178
whole food	0.178
attach to	0.178
bowling ball	0.178
crafty	0.178
french fries	0.178
jollof rice	0.178
pay homage	0.178
science	0.176
ground ball	0.176
night owl	0.176
parrot	0.176
rehearse	0.176
presuppose	0.176
coexistence	0.176
concession	0.176
dough	0.176
exempt	0.176
bouttime	0.176
awwww	0.176
trinket	0.175
reconstitution	0.174
airman	0.174
house	0.174
get on	0.174
prompting	0.174
bank statement	0.174
tenor	0.174
magistrate	0.174
arbitration	0.174
speak volumes	0.172
chip cookie	0.172
on business	0.172
window shopping	0.172
moving company	0.172
whole idea	0.172
stand on	0.172
circuit	0.172
see out	0.172
like clockwork	0.172
main character	0.172
pay rate	0.172
horse racing	0.172
sit down	0.172
pay off	0.172
circadian rhythm	0.172
play back	0.172
television show	0.172
act on	0.172
you think	0.172
cow milk	0.172
oatmeal cookies	0.172
superior to	0.172
dear sir	0.172
yaw	0.172
tons of	0.172
product line	0.172
snowing	0.172
timeline	0.172
storage space	0.172
a touch	0.172
big game	0.172
hahaha	0.172
hot fudge	0.172
aston martin	0.172
oak tree	0.172
legal advice	0.172
ancient history	0.172
bidding	0.172
a one	0.172
soldier on	0.172
banana split	0.172
ring finger	0.172
cool breeze	0.172
petting zoo	0.172
operating system	0.172
play cards	0.172
free thinker	0.172
belt out	0.172
trend line	0.172
alright	0.172
contract in	0.172
tell about	0.172
insurance coverage	0.172
fresh out	0.172
banker	0.172
prep school	0.172
providing that	0.172
further away	0.172
fly around	0.172
my my	0.172
save up	0.172
own medicine	0.172
pay up	0.172
seeing things	0.172
record player	0.172
atlantic provinces	0.172
consistent with	0.172
cream cheese	0.172
sleep in	0.172
citadel	0.170
standpoint	0.170
cream pie	0.170
reserve	0.170
slider	0.170
seventeen	0.170
credit card	0.170
triple	0.170
red hot	0.170
rise up	0.170
runway	0.170
discrete	0.170
opener	0.168
recharge	0.168
beam	0.168
clout	0.168
pontificate	0.168
annexe	0.168
sexual	0.168
lager	0.168
distinction	0.168
outspokenness	0.167
igniter	0.167
upcountry	0.167
westernized	0.167
subtly	0.167
nationally	0.167
cycler	0.167
camelback	0.167
preapproval	0.167
vibrational	0.167
bookrack	0.167
categories	0.167
detachable	0.167
hotness	0.167
cryptographic	0.167
interfamily	0.167
chiefdom	0.167
endoscopic	0.167
languorous	0.167
conceived	0.167
scimitar	0.167
redeploy	0.167
idiosyncratic	0.167
acquisitively	0.167
noncommercial	0.167
gatherable	0.167
formularize	0.167
penknife	0.167
bachelor	0.167
counterpane	0.167
pectoral	0.167
arithmetical	0.167
zipping	0.167
associated	0.167
pinkness	0.167
whitewall	0.167
mudpack	0.167
notate	0.167
flyby	0.167
noncircular	0.167
cursive	0.167
dared	0.167
beans	0.167
incubate	0.167
haberdasher	0.167
getting	0.167
vulcanization	0.167
indescribability	0.167
schoolbook	0.167
fishpond	0.167
headstand	0.167
marketwise	0.167
longlegs	0.167
segue	0.167
entryway	0.167
redefinition	0.167
daybed	0.167
woodman	0.167
handrail	0.167
syracuse	0.167
neurotransmission	0.167
soothsay	0.167
dairyman	0.167
quasar	0.167
simulcast	0.167
conspicuously	0.167
saleswoman	0.167
declared	0.167
hypertext	0.167
defrag	0.167
consumable	0.167
multivolume	0.167
certainly	0.167
cryptogram	0.167
microfossil	0.167
goosebumps	0.167
advertize	0.167
landmass	0.167
classically	0.167
flavonoid	0.167
quintillion	0.167
kinetically	0.167
polymerize	0.167
knelt	0.167
harvestman	0.167
reroll	0.167
supergene	0.167
scallion	0.167
officemate	0.167
appendices	0.167
beadlike	0.167
lentil	0.167
occupationally	0.167
waggle	0.167
dissertate	0.167
nondenominational	0.167
midcentury	0.167
proportionally	0.167
carload	0.167
enrobe	0.167
sewn	0.167
etymologist	0.167
chapeau	0.167
cowslip	0.167
bluebook	0.167
constabulary	0.167
firmware	0.167
upstand	0.167
reassessment	0.167
planeload	0.167
formational	0.167
backstroke	0.167
thunderous	0.167
nonconformity	0.167
butterball	0.167
formulize	0.167
quantification	0.167
confessable	0.167
autogenesis	0.167
mammalian	0.167
recompile	0.167
refold	0.167
shipped	0.167
reassume	0.167
bacteriologist	0.167
raceway	0.167
handgrip	0.167
typesetter	0.167
salesclerk	0.167
schoolbag	0.167
bowlike	0.167
multitudinous	0.167
advisee	0.167
prizefighter	0.167
photoengraving	0.167
itinerate	0.167
alphabetizer	0.167
came	0.166
dive	0.166
deer	0.166
earpiece	0.166
fountain pen	0.166
secondary education	0.166
tended to	0.166
signification	0.166
dispenser	0.166
medical	0.166
reasons	0.166
fur	0.166
influencer	0.166
job training	0.166
clad	0.166
gradually	0.166
divers	0.166
buy time	0.166
chamber	0.166
pier	0.166
plate	0.166
well oiled	0.166
turtleneck	0.166
printing press	0.166
major in	0.166
charter school	0.166
specie	0.166
reflex	0.166
umbrella	0.166
juniper	0.166
wool	0.166
turbo	0.166
computation	0.166
required	0.166
scroll wheel	0.166
kept up	0.166
time span	0.166
old times	0.166
roving	0.166
haiku	0.166
centennial	0.166
elongate	0.166
eat that	0.166
lea	0.166
conch	0.166
classification	0.166
concise	0.166
beeswax	0.166
gluten free	0.166
undergraduate	0.166
excavate	0.166
green belt	0.166
call up	0.166
pillar	0.166
conductivity	0.166
parent company	0.166
spirits	0.166
surface area	0.166
chimney	0.166
fingerprint	0.166
conventional wisdom	0.166
school uniform	0.166
reef	0.166
fireman	0.166
theory	0.166
occupational	0.166
essential oil	0.166
physician	0.166
hierarchy	0.166
vibration	0.166
looker	0.166
lace up	0.166
drive in	0.166
hoy	0.166
prove	0.166
criteria	0.166
acre	0.166
currency	0.166
moonstruck	0.166
economy	0.166
responsible for	0.166
front foot	0.166
room service	0.166
curling	0.166
width	0.166
spinach	0.166
conjugate	0.166
eat out	0.166
route	0.166
take it	0.166
lift up	0.166
batting average	0.166
tutu	0.166
take forever	0.166
baccarat	0.166
